msa,Geo_NAME,pop
47920,Washington Court House,28609
48260,Weirton-Steubenville,65943
48540,Wheeling,67424
48940,Wilmington,42000
49300,Wooster,116063
49660,Youngstown-Warren-Boardman,427596
49780,Zanesville,86033
10220,Ada,38385
11060,Altus,24808
11620,Ardmore,58508
12780,Bartlesville,51995
20340,Duncan,43401
20460,Durant,47325
21120,Elk City,21860
21420,Enid,61555
22900,Fort Smith,41687
25100,Guymon,20633
30020,Lawton,127157
32540,McAlester,43955
33060,Miami,31283
34780,Muskogee,68451
36420,Oklahoma City,1397040
38620,Ponca City,44074
43060,Shawnee,72511
44660,Stillwater,81912
45140,Tahlequah,48871
46140,Tulsa,996141
48220,Weatherford,28929
49260,Woodward,24288
10540,Albany-Lebanon,127216
11820,Astoria,39656
13460,Bend,191749
15060,Brookings,22889
18300,Coos Bay,64175
18700,Corvallis,92168
21660,Eugene-Springfield,377749
24420,Grants Pass,87097
25840,Hermiston-Pendleton,88744
26220,Hood River,23270
28900,Klamath Falls,67606
29260,La Grande,26502
32780,Medford,218781
35440,Newport,49336
36620,Ontario,30632
38900,Portland-Vancouver-Hillsboro,1978918
39260,Prineville,23733
40700,Roseburg,110015
41420,Salem,428472
45520,The Dalles,26274
10900,Allentown-Bethlehem-Easton,735535
11020,Altoona,122495
14100,Bloomsburg-Berwick,83568
14620,Bradford,41021
16540,Chambersburg-Waynesboro,154954
20180,DuBois,79466
20700,East Stroudsburg,168824
21500,Erie,272046
23900,Gettysburg,102627
25420,Harrisburg-Carlisle,574691
26500,Huntingdon,45145
26860,Indiana,84463
27780,Johnstown,131611
29540,Lancaster,543050
30140,Lebanon,140410
30260,Lewisburg,44831
30380,Lewistown,46179
30820,Lock Haven,38549
32740,Meadville,85074
35260,New Castle,86148
35620,New York-Newark-Jersey City,55660
36340,Oil City,51355
37980,Philadelphia-Camden-Wilmington,4123687
38300,Pittsburgh,2324447
39060,Pottsville,141935
39740,Reading,419062
41260,St. Marys,30077
42380,Sayre,60721
42540,Scranton--Wilkes-Barre,554787
42780,Selinsgrove,40452
43740,Somerset,73844
44300,State College,162264
44980,Sunbury,91234
47620,Warren,39466
48700,Williamsport,114014
49620,York-Hanover,447628
49660,Youngstown-Warren-Boardman,110519
39300,Providence-Warwick,1057798
12260,Augusta-Richmond County,196968
13500,Bennettsville,26376
16700,Charleston-North Charleston,790955
16740,Charlotte-Concord-Gastonia,401525
17900,Columbia,832925
22500,Florence,205095
23500,Gaffney,57110
23860,Georgetown,62150
24860,Greenville-Anderson,908680
24940,Greenwood,70672
25940,Hilton Head Island-Bluffton,219290
34820,Myrtle Beach-Conway-North Myrtle Beach,344186
35140,Newberry,38329
36700,Orangeburg,86953
42860,Seneca,78314
43900,Spartanburg,313791
44940,Sumter,140540
46420,Union,27325
10100,Aberdeen,42864
15100,Brookings,35115
26700,Huron,20347
