msa_title,msa,pop
"St. Joseph, MO-KS Metro Area (part); Kansas",41140,7492
"Salina, KS Micro Area; Kansas",41460,59583
"Topeka, KS Metro Area; Kansas",45820,232724
"Wichita, KS Metro Area; Kansas",48620,648935
"Bowling Green, KY Metro Area; Kentucky",14540,183194
"Campbellsville, KY Micro Area; Kentucky",15820,37483
"Cincinnati, OH-KY-IN Metro Area (part); Kentucky",17140,457783
"Clarksville, TN-KY Metro Area (part); Kentucky",17300,86810
"Corbin, KY Micro Area; Kentucky",18340,149625
"Danville, KY Micro Area; Kentucky",19220,55123
"Elizabethtown, KY Metro Area; Kentucky",21060,126480
"Frankfort, KY Micro Area; Kentucky",23180,75661
"Franklin, KY Micro Area; Kentucky",23190,19786
"Glasgow, KY Micro Area; Kentucky",23980,55042
"Henderson, KY Micro Area; Kentucky",25775,57366
"Huntington-Ashland, WV-KY-OH Metro Area (part); Kentucky",26580,126368
"Lexington-Fayette, KY Metro Area; Kentucky",30460,517378
"Louisville/Jefferson County, KY-IN Metro Area (part); Kentucky",31140,1090583
"Madisonville, KY Micro Area; Kentucky",31580,45143
"Mayfield, KY Micro Area; Kentucky",32460,36612
"Middlesborough, KY Micro Area; Kentucky",33180,23878
"Mount Sterling, KY Micro Area; Kentucky",34460,47286
"Murray, KY Micro Area; Kentucky",34660,37882
"Owensboro, KY Metro Area; Kentucky",36980,112322
"Paducah, KY-IL Metro Area (part); Kentucky",37140,88966
"Pikeville, KY Micro Area; Kentucky",38210,92808
"Richmond-Berea, KY Micro Area; Kentucky",40080,124287
"Somerset, KY Micro Area; Kentucky",43700,65503
"Alexandria, LA Metro Area; Louisiana",10780,150593
"Baton Rouge, LA Metro Area; Louisiana",12940,871379
"Bogalusa, LA Micro Area; Louisiana",14220,45238
"DeRidder, LA Micro Area; Louisiana",19760,36646
"Hammond, LA Metro Area; Louisiana",25220,135218
"Houma-Bayou Cane-Thibodaux, LA Metro Area; Louisiana",26380,204032
"Lafayette, LA Metro Area; Louisiana",29180,410883
"Lake Charles, LA Metro Area; Louisiana",29340,245973
"Minden, LA Micro Area; Louisiana",33380,36189
"Monroe, LA Metro Area; Louisiana",33740,224705
"Morgan City, LA Micro Area; Louisiana",34020,48455
