msa,pop
36830,20690
38820,77593
38900,522792
39040,33313
39420,47042
42660,4021467
43220,66968
44060,591793
47460,62102
48300,123251
49420,256605
13220,113653
14140,59062
16620,207456
17220,89717
19060,26922
21180,27782
21900,56042
25180,143492
26580,189048
34060,140724
37620,88960
47900,58546
48260,50711
48540,72033
49020,23340
11540,244163
12660,65759
13180,88818
20260,44197
20740,172886
22540,104053
24580,329375
27020,4617
27500,163944
28450,168413
29100,151177
31540,683967
31820,81314
31940,41907
32860,45349
33340,1566361
33460,137170
36780,171357
38420,51678
39540,196888
39960,46741
43020,45183
43100,117783
43890,46169
44620,70375
48020,85867
48140,138067
48580,105447
49220,74039
16220,79735
16940,100661
17650,30109
21740,20605
23940,47018
27220,23358
29660,37713
40180,39472
40540,41786
43260,31585
10380,252430
11640,181380
17620,54358
17640,25397
25020,67171
29720,27944
32420,211487
38660,273739
41980,2063795
46580,27896
